customer_id,visit_freq,avg_basket,last_coupon_days,reward_points
CUST_00001,7,45.31,21,1755
CUST_00002,15,65.67,21,1526
CUST_00003,11,67.65,53,1765
CUST_00004,8,25.9,11,1969
CUST_00005,7,19.59,17,951
CUST_00006,19,41.95,55,1502
CUST_00007,11,61.54,45,371
CUST_00008,11,43.48,46,1288
CUST_00009,4,5.0,14,263
CUST_00010,8,19.93,36,109
CUST_00011,3,38.15,15,1938
CUST_00012,2,38.11,4,306
CUST_00013,12,89.31,1,1223
CUST_00014,6,5.35,51,225
CUST_00015,2,52.64,27,184
CUST_00016,1,77.23,56,963
CUST_00017,12,96.79,40,30
CUST_00018,12,29.89,53,613
CUST_00019,17,52.29,26,1794
CUST_00020,10,54.24,30,98
CUST_00021,16,44.89,40,1362
CUST_00022,15,37.53,35,810
CUST_00023,15,50.9,46,1820
CUST_00024,19,5.0,42,1289
CUST_00025,12,57.05,0,651
CUST_00026,3,43.15,49,813
CUST_00027,5,34.44,28,1821
CUST_00028,19,91.17,0,1373
CUST_00029,7,23.13,7,1019
CUST_00030,9,29.92,56,977
CUST_00031,7,89.79,15,1751
CUST_00032,18,19.2,57,1567
CUST_00033,4,26.25,27,1480
CUST_00034,14,36.32,21,1838
CUST_00035,18,61.02,17,87
CUST_00036,9,45.2,21,1086
CUST_00037,2,7.68,40,921
CUST_00038,15,26.7,11,1410
CUST_00039,7,24.82,18,1814
CUST_00040,12,38.07,24,1482
CUST_00041,8,50.65,49,585
CUST_00042,15,50.46,58,817
CUST_00043,3,5.0,4,931
CUST_00044,14,66.6,58,1659
CUST_00045,17,46.31,33,1292
CUST_00046,4,74.61,38,1917
CUST_00047,18,51.1,58,796
CUST_00048,8,67.53,9,1957
CUST_00049,4,51.66,46,1018
CUST_00050,2,73.66,56,1012
CUST_00051,6,53.06,6,972
CUST_00052,10,37.55,59,632
CUST_00053,4,96.81,36,345
CUST_00054,18,62.23,46,723
CUST_00055,12,54.34,51,900
CUST_00056,2,8.09,59,1683
